Time,MaxTemperature,MinTemperature
0.00000000000000000000,365.81547262515931606686,110.03797235555069278234
50.00000000000000000000,502.59171427864765746563,168.83700976624805889514
100.00000000000000000000,587.37266670966755555128,242.80084627221026494226
150.00000000000000000000,649.38748218052228367014,318.61458870451042457717
200.00000000000000000000,700.06841829446580049989,391.25579178949232073137
250.00000000000000000000,744.06334147350548846589,459.03690891911031712880
300.00000000000000000000,783.38284621760942627589,521.58628539565745541040
350.00000000000000000000,818.99218357204551921313,579.03446139235552436730
400.00000000000000000000,851.43103779637056049978,631.68925823296967791975
450.00000000000000000000,881.05762938859470523312,679.90761913038716102164
