D³ugoœæ kroku;Lp.;x1(0);x2(0);x1* (HJ);x2* (HJ);y* (HJ);Liczba wywo³añ funkcji celu (HJ);x1* (Rosen);x2* (Rosen);y* (Rosen);Liczba wywo³añ funkcji celu (Rosen)
0.001; 55; -0.181336; 0.572557; -7.58443e-06; 0.774713; 0,619837; 386; -6.68751e-07; 0.774716; 0,619837; 944
0.001; 56; -0.474024; -0.438971; -0.774711; -0.774721; 1,23967; 472; -0.774446; -0.77469; 1,23968; 608
0.001; 57; -0.953904; 0.344926; -0.774717; 4.14336e-06; 0,619837; 562; -0.774716; 3.41428e-07; 0,619837; 928
0.001; 58; -0.713638; -0.835292; -0.774716; -0.774714; 1,23967; 268; -0.774716; -0.774715; 1,23967; 724
0.001; 59; 0.342264; 0.476726; -1.30127e-06; 0.77471; 0,619837; 438; 4.46859e-08; 0.774716; 0,619837; 552
0.001; 60; 0.201919; -0.893922; -2.8489e-06; -0.774719; 0,619837; 450; 3.71019e-08; -0.774715; 0,619837; 644
0.001; 61; -0.429468; 0.496105; -0.774718; 0.774714; 1,23967; 500; -0.774716; 0.774716; 1,23967; 940
0.001; 62; -0.170151; -0.726484; 5.38457e-06; -0.774719; 0,619837; 382; 1.22107e-07; -0.774716; 0,619837; 1216
0.001; 63; 0.0004784; -0.691136; -5.97503e-06; -0.774714; 0,619837; 340; -9.89946e-08; -0.774716; 0,619837; 536
0.001; 64; -0.847365; 0.844701; -0.774708; 0.774717; 1,23967; 328; -0.774716; 0.774716; 1,23967; 936
0.001; 65; -0.656444; 0.0181379; -0.774709; -2.72502e-06; 0,619837; 338; -0.774715; -3.43626e-07; 0,619837; 728
0.001; 66; -0.609705; 0.0791231; -0.774721; -1.90296e-06; 0,619837; 380; -0.774716; -1.89618e-08; 0,619837; 1220
0.001; 67; 0.600936; -0.628343; 0.774717; -0.774718; 1,23967; 354; 0.774716; -0.774716; 1,23967; 816
0.001; 68; -0.373272; -0.83602; -6.54942e-06; -0.774724; 0,619837; 436; -0.000154; -0.774719; 0,619838; 644
0.001; 69; 0.226208; -0.335482; 4.71619e-06; 2.35209e-06; 8,84419e-10; 500; -3.69358e-11; -3.12195e-08; 3,10862e-14; 992
0.001; 70; 0.805887; 0.124662; 0.774715; 6.12057e-06; 0,619837; 410; 0.774715; -4.2153e-07; 0,619837; 752
0.001; 71; -0.172989; -0.505049; -4.56877e-06; -0.774721; 0,619837; 506; 6.78171e-08; -0.774716; 0,619837; 640
0.001; 72; 0.704747; 0.146858; 0.774715; -1.67228e-06; 0,619837; 414; 0.774716; 2.45315e-08; 0,619837; 1504
0.001; 73; 0.285867; 0.825692; 7.16973e-06; 0.774723; 0,619837; 434; -1.09259e-07; 0.774716; 0,619837; 968
0.001; 74; 0.200436; 0.185719; -1.97869e-06; -2.38456e-08; 1,24688e-10; 410; -5.30371e-09; 1.38334e-08; 7,10543e-15; 828
0.001; 75; 0.284365; -0.0432846; 5.88663e-06; -3.33209e-06; 1,45696e-09; 470; 6.68653e-08; -2.68641e-08; 1,65201e-13; 868
0.001; 76; 0.629187; 0.00966057; 0.774719; 4.32165e-06; 0,619837; 336; 0.774716; -1.5307e-09; 0,619837; 600
0.001; 77; -0.999156; -0.941284; -0.774718; -0.774721; 1,23967; 392; -0.774715; -0.774716; 1,23967; 1392
0.001; 78; 0.829182; -0.674856; 0.774713; -0.774716; 1,23967; 404; 0.774714; -0.774716; 1,23967; 1152
0.001; 79; -0.542401; 0.802597; -0.774713; 0.774722; 1,23967; 380; -0.774716; 0.774716; 1,23967; 820
0.001; 80; 0.929333; 0.360745; 0.774723; -4.64109e-06; 0,619837; 578; 0.774715; -2.35715e-06; 0,619837; 1156
0.001; 81; -0.148844; 0.831262; -2.00306e-07; 0.774715; 0,619837; 410; -1.02518e-06; 0.774716; 0,619837; 940
0.001; 82; 0.975068; 0.220759; 0.774708; -6.93051e-06; 0,619837; 436; 0.774698; -3.31971e-07; 0,619837; 696
0.001; 83; -0.659177; -0.477301; -0.774723; -0.774723; 1,23967; 518; -0.774716; -0.774716; 1,23967; 1016
0.001; 84; -0.804028; 0.0478813; -0.774715; 6.29084e-06; 0,619837; 300; -0.774716; 7.61238e-08; 0,619837; 1240
0.001; 85; -0.769754; 0.79446; -0.774723; 0.77471; 1,23967; 214; -0.774716; 0.774716; 1,23967; 592
0.001; 86; -0.551485; 0.0232783; -0.77472; -2.93906e-06; 0,619837; 378; -0.774716; -1.48588e-08; 0,619837; 1044
0.001; 87; -0.387502; -0.823969; -2.04007e-06; -0.774719; 0,619837; 370; -5.92507e-08; -0.774716; 0,619837; 672
0.001; 88; -0.800217; -0.981838; -0.774717; -0.774713; 1,23967; 296; -0.774716; -0.774716; 1,23967; 936
0.001; 89; 0.299209; 0.979165; 6.21442e-06; 0.774711; 0,619837; 532; -1.58511e-07; 0.774716; 0,619837; 684
0.001; 90; -0.97636; -0.235713; -0.774719; 5.28297e-06; 0,619837; 420; -0.774716; -2.23142e-08; 0,619837; 964
0.001; 91; -0.501796; -0.602248; -0.774718; -0.774716; 1,23967; 488; -0.774716; -0.774715; 1,23967; 1076
0.001; 92; 0.871331; -0.89704; 0.774722; -0.774712; 1,23967; 380; 0.774716; -0.774716; 1,23967; 900
0.001; 93; 0.528981; -0.680754; 0.774715; -0.774723; 1,23967; 474; 0.774687; -0.774716; 1,23967; 776
0.001; 94; -0.400204; -0.324235; -7.71878e-07; -5.63255e-07; 2,90739e-11; 484; -5.22609e-08; 3.52715e-08; 1,26565e-13; 616
0.001; 95; -0.294001; -0.68866; -1.19957e-06; -0.774723; 0,619837; 386; 5.99171e-08; -0.774716; 0,619837; 804
0.001; 96; 0.947799; 0.805674; 0.774721; 0.774721; 1,23967; 354; 0.774717; 0.774715; 1,23967; 664
0.001; 97; 0.0917468; -0.646955; -3.16746e-06; -0.774721; 0,619837; 352; -6.43269e-08; -0.774716; 0,619837; 944
0.001; 98; -0.267558; 0.819819; 4.76143e-06; 0.77471; 0,619837; 418; -3.31071e-08; 0.774716; 0,619837; 540
0.001; 99; -0.409622; -0.275038; 2.74733e-06; -7.15442e-06; 1,87022e-09; 528; -2.99959e-09; 3.86931e-09; 6,66134e-16; 1144
0.001; 100; 0.16648; 0.51364; -4.60304e-06; 0.774718; 0,619837; 456; -7.22052e-09; 0.774716; 0,619837; 616
